"aou","year","num_observation"
"07580",2018,15851
"07580",2019,16336
"07580",2021,13539
"07580",2022,13069
"07590",2000,7734
"07590",2001,8142
"07590",2002,7127
"07590",2003,7203
"07590",2004,9049
"07590",2005,8106
"07590",2006,9278
"07590",2007,9274
"07590",2008,8632
"07590",2009,9572
"07590",2010,9212
"07590",2011,8844
"07590",2012,9014
"07590",2013,8626
"07590",2014,8554
"07590",2015,8612
"07590",2016,9514
"07590",2017,8714
"07590",2018,8328
"07590",2019,8145
"07590",2021,5924
"07590",2022,6399
"07610",2000,97878
"07610",2001,96483
"07610",2002,92612
"07610",2003,89683
"07610",2004,93261
"07610",2005,95824
"07610",2006,97386
"07610",2007,95374
"07610",2008,93564
"07610",2009,98659
"07610",2010,102121
"07610",2011,100996
"07610",2012,100810
"07610",2013,98959
"07610",2014,92982
"07610",2015,97299
"07610",2016,99215
"07610",2017,97136
"07610",2018,94850
"07610",2019,90078
"07610",2021,80541
"07610",2022,80483
"20630",2018,2
"20630",2019,2
